Protein Type	File Name	Accession ID	Hit Number	Hit ID	Query Definition	Hit Length	Species	Hsp E-value	Identity	Positives	Database	TaxID	Domain	Phylum	Class	Order	Family	Type	Strain
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 498	AMJ54525.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000231189	68	114	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 499	AHJ82548.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000233265	69	125	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	Q8NFJ6_blast_results.txt	Q8NFJ6	Hit 500	ACZ80405.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	0.000233265	69	125	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	P47898_blast_results.txt	P47898	Hit 60	AZV24102.1	envelope glycoprotein US27 [Human betaherpesvirus 5]	347	Human betaherpesvirus 5	0.0118431	46	83	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	P47898_blast_results.txt	P47898	Hit 63	AKI21087.1	envelope glycoprotein US27 [Human betaherpesvirus 5]	363	Human betaherpesvirus 5	0.0163508	44	82	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Neuropeptides and Neurotransmitter	P47898_blast_results.txt	P47898	Hit 64	AKI16071.1	envelope glycoprotein US27 [Human betaherpesvirus 5]	363	Human betaherpesvirus 5	0.0163508	44	82	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 110	QBF76587.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	3.99E-09	81	139	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 124	AQN70448.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	6.13E-09	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 125	CAC38857.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	6.53E-09	81	139	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 126	AAK58042.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	6.53E-09	81	139	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 127	CAC38852.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	6.71E-09	82	139	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 128	AAK58037.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	6.71E-09	82	139	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 129	AKI18408.1	envelope protein US28 [Human betaherpesvirus 5]	353	Human betaherpesvirus 5	6.98E-09	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 131	AMJ52857.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	7.28E-09	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 155	AMJ53857.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	8.73E-09	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 160	AKI09387.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	9.74E-09	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 164	CAC38847.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.04E-08	80	142	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 165	AAK58033.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.04E-08	80	142	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 166	AKI24125.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.05E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 167	AKI14064.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.05E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 168	AFR54813.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.05E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 169	ACS92089.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.05E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 171	AKI23790.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.11E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 172	AKI13731.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.11E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 173	AAO22972.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.11E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 177	CAC38858.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.17E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 178	APG57355.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.17E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 179	ADV04481.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.17E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 180	AAK58043.1	glycoprotein coupled receptor [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.17E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 183	CAC37943.1	chemokine receptor homologue [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.19E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 184	AQN70953.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.22E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 185	AQN69439.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.22E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 186	AKI16407.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.22E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 192	APG57864.1	envelope protein US28 [Human betaherpesvirus 5]	353	Human betaherpesvirus 5	1.24E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 193	AMJ54023.1	envelope protein US28 [Human betaherpesvirus 5]	353	Human betaherpesvirus 5	1.24E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 195	QPI35584.1	envelope protein US28 [Human betaherpesvirus 5]	352	Human betaherpesvirus 5	1.27E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 206	AKI13563.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.29E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 207	AKI12229.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.29E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 208	AKI09891.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.29E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 209	AHJ84735.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.29E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 210	AAO22973.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.29E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 216	AHJ85073.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.31E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 217	AQN72301.1	envelope protein US28 [Human betaherpesvirus 5]	353	Human betaherpesvirus 5	1.33E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 218	AKI19582.1	envelope protein US28 [Human betaherpesvirus 5]	353	Human betaherpesvirus 5	1.33E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 220	AFR56318.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 221	AAO22969.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 222	AAO22968.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 223	AAO22954.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 224	AAA98741.1	"sequence differences confirmed in independent clones; variant of X17403 (AD169 strain), bases 219200 to 220263; G protein-coupled receptor [Human betaherpesvirus 5]"	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 225	APA45152.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 226	AKI09555.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 227	AHJ82043.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 228	AHB19635.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 229	AFR55145.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.34E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 230	AAO22963.1	US28 protein [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.36E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 231	APA46159.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.36E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 232	AKI16906.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.36E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 233	AKI11065.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.36E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 234	AHB20132.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.36E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 235	ACZ79911.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.36E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 244	AFR54659.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.45E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 245	AFR54645.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.45E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 246	URN71971.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.45E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 247	URN71378.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.45E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 248	AKI14903.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.53E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 249	AHJ84397.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.53E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 250	AHJ83893.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.53E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 251	AHJ83390.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.53E-08	81	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
Gastrointestinal 	P32247_blast_results.txt	P32247	Hit 254	AKI25985.1	envelope protein US28 [Human betaherpesvirus 5]	354	Human betaherpesvirus 5	1.56E-08	80	138	Genomic Viruses	1370065	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Marseilleviridae	Marseillevirus	Insectomime virus
